id|alternative_ids|label|source|source_url|synonyms|term_name
doid_0050907||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
mondo_0030935||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""MC2DN2"", ""mitochondrial complex 2 deficiency, nuclear type 2"", ""mitochondrial complex II deficiency, nuclear type 2""]"|mitochondrial complex 2 deficiency, nuclear type 2
10912||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
doid_10873||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
ncit_c123158||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
c1857574||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
efo_1000580||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""thymic undifferentiated carcinoma""]"|Thymic Undifferentiated Carcinoma
mondo_0011738||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""BFPP"", ""cerebellar ataxia with neuronal migration defect"", ""polymicrogyria, bilateral frontoparietal"", ""bilateral frontoparietal polymicrogyria""]"|bilateral frontoparietal polymicrogyria
doid_2722||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
efo_0002893||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""chorioblastoma"", ""choriocarcinoma"", ""choriocarcinoma (disease)"", ""choriocarcinoma, malignant"", ""chorioepithelioma"", ""chorion carcinoma"", ""chorionic carcinoma""]"|choriocarcinoma
mondo_0011346||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""type 2 xanthinuria"", ""type II xanthinuria"", ""xanthine dehydrogenase and aldehyde oxidase combined deficiency of"", ""xanthinuria type 2"", ""xanthinuria, type 2"", ""xanthinuria, type II"", ""XAN2"", ""XDH and AOX dual deficiency"", ""xanthine dehydrogenase and aldehyde oxidase, combined deficiency of"", ""xanthine dehydrogenase and xanthine aldehyde oxidase dual deficiency""]"|xanthinuria type II
ncit_c26768||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
ncit_c34571||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
ncit_c35480||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
efo_0801648||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||glycosyltransferase 8 domain-containing protein 1 measurement
322257||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
65942||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
mondo_0021233||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""Ear neoplasms"", ""Ear tumor"", ""Ear tumour"", ""ear neoplasm (disease)"", ""ear tumor"", ""ear tumour"", ""neoplasm of Ear"", ""neoplasm of ear"", ""neoplasm of the Ear"", ""tumor of Ear"", ""tumor of ear"", ""tumor of the Ear"", ""tumour of Ear"", ""tumour of ear"", ""tumour of the Ear""]"|ear neoplasm
efo_0006569||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||EFM-192B
pr_000008464||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||hemoglobin subunit theta-1
237181||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
doid_0111621||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
efo_0008408||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||susceptibility to strep throat measurement
oba_2041913||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""blood serum homer protein homolog 2 amount""]"|level of homer protein homolog 2 in blood serum
mondo_0007056||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""acroosteolysis""]"|acroosteolysis
1920227791||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
c0878677||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
efo_0006302||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||Swiss8
mondo_0007666||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""glaucoma and sleep apnea"", ""glaucoma sleep apnea""]"|glaucoma-sleep apnea syndrome
236690||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
oba_2040456||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""blood serum L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase amount""]"|level of L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase in blood serum
oba_2042962||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""blood serum DNA polymerase epsilon subunit 3 amount""]"|level of DNA polymerase epsilon subunit 3 in blood serum
c537205||efo|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||
