id|alternative_ids|label|source|source_url|synonyms|term_name
go_1905413||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""regulation of dense core vesicle exocytosis""]"|regulation of dense core granule exocytosis
go_0010430||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||fatty acid omega-oxidation
go_0051709|"[""GO:0044531"", ""GO:0052248"", ""GO:0052433"", ""GO:0052459""]"|biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""regulation of killing of cells of other organism""]"|regulation of killing of cells of another organism
go_1902404||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""contractile ring contraction involved in cell cycle cytokinesis involved in mitotic cell cycle"", ""cytokinesis, actomyosin ring contraction involved in mitotic cell cycle"", ""mitotic actomyosin contractile ring constriction""]"|mitotic actomyosin contractile ring contraction
go_0016445||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""somatic diversification of antibodies""]"|somatic diversification of immunoglobulins
go_0097530||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||granulocyte migration
go_0060328||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""cytoplasmic actin-based contraction involved in forward cell locomotion""]"|cytoplasmic actin-based contraction involved in forward cell motility
go_0030049||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||muscle filament sliding
go_0061984||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||catabolite repression
go_0061259||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||mesonephric glomerular mesangial cell differentiation
go_0015952||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||purine deoxyribonucleotide interconversion
go_0042863||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""pyochelin metabolism""]"|pyochelin metabolic process
go_0035554||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||termination of Roundabout signal transduction
go_0034213||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""quinolinate breakdown"", ""quinolinate catabolism"", ""quinolinate degradation""]"|quinolinate catabolic process
go_0042116||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""macrophage polarization""]"|macrophage activation
go_0009293||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||transduction
go_0071448||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||cellular response to alkyl hydroperoxide
go_1903121||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""regulation of TRAIL-activated extrinsic apoptotic signaling pathway"", ""regulation of TRAIL-induced apoptotic signaling pathway"", ""regulation of tumor necrosis factor-related apoptosis-inducing ligand apoptotic signaling pathway""]"|regulation of TRAIL-activated apoptotic signaling pathway
go_0097241||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""hemopoietic stem cell migration to bone marrow""]"|hematopoietic stem cell migration to bone marrow
go_0061687||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||detoxification of inorganic compound
go_0021982||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""epiphysis development""]"|pineal gland development
go_2000002||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""negative regulation of DNA damage response, signal transduction resulting in cell cycle arrest""]"|negative regulation of DNA damage checkpoint
go_0071657||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""positive regulation of CSF3 production"", ""positive regulation of G-CSF production"", ""positive regulation of colony stimulating factor 3 (granulocyte) production"", ""positive regulation of filgrastim production"", ""positive regulation of granulocyte colony stimulating factor production"", ""positive regulation of lenograstim production"", ""positive regulation of pluripoietin production""]"|positive regulation of granulocyte colony-stimulating factor production
go_0045678||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""positive regulation of R7 differentiation"", ""up regulation of R7 differentiation"", ""up-regulation of R7 differentiation"", ""upregulation of R7 differentiation""]"|positive regulation of R7 cell differentiation
go_2000740||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||negative regulation of mesenchymal stem cell differentiation
go_0032656|"[""GO:0045366"", ""GO:2000665""]"|biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""regulation of IL-13 production""]"|regulation of interleukin-13 production
go_0010794||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of dolichol biosynthetic process
go_0140920||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of thermomorphogenesis
go_0006210||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""thymine breakdown"", ""thymine catabolism"", ""thymine degradation""]"|thymine catabolic process
go_0061102||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""gastric neuroendocrine cell differentiation""]"|stomach neuroendocrine cell differentiation
go_0003065||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""positive regulation of heart contraction rate by epinephrine"", ""positive regulation of heart rate by adrenaline"", ""adrenaline cardiac chronotropy"", ""adrenaline regulation of the rate of heart muscle contraction"", ""epinephrine cardiac chronotropy""]"|positive regulation of heart rate by epinephrine
go_0002331||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""pre-B lymphocyte allelic exclusion""]"|pre-B cell allelic exclusion
go_0006370||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""5 mRNA capping"", ""5-end mRNA processing"", ""mRNA capping""]"|7-methylguanosine mRNA capping
go_0039671||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""modulation of host NK-cell activity by virus"", ""evasion by virus of host NK cell killing"", ""evasion by virus of host natural killer cell response"", ""protection by virus against host NK cell cytotoxicity"", ""suppression by virus of host natural killer cell function"", ""viral immunoevasion of host NK cell""]"|evasion by virus of host natural killer cell activity
go_1903497||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||cellular response to 11-deoxycorticosterone
go_0060825||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""fibroblast growth factor receptor signalling pathway involved in neural plate anterior/posterior pattern formation""]"|fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation
go_0021725||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||superior raphe nucleus development
go_0008655||biological_process|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""pyrimidine salvage""]"|pyrimidine-containing compound salvage
