id|alternative_ids|label|source|source_url|synonyms|term_name
go_0098600||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||selenomethionine gamma-lyase activity
go_0047951||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""S-acylglutathione hydrolase activity"", ""citryl-glutathione thioesterhydrolase activity"", ""glutathione thioesterase activity""]"|glutathione thiolesterase activity
go_0080115||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||myosin XI tail binding
go_0047046|"[""GO:0047984""]"|molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""(-)-1-hydroxy-1,2,4-butanetricarboxylate:NAD(+) oxidoreductase (decarboxylating) activity"", ""(-)-1-hydroxy-1,2,4-butanetricarboxylate:NAD+ oxidoreductase (decarboxylating)"", ""(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)"", ""2-hydroxy-3-carboxyadipate dehydrogenase activity"", ""3-carboxy-2-hydroxyadipate:NAD(+) oxidoreductase (decarboxylating) activity"", ""3-carboxy-2-hydroxyadipate:NAD+ oxidoreductase (decarboxylating)"", ""homoisocitric dehydrogenase activity"", ""3-carboxy-2-hydroxyadipate dehydrogenase activity""]"|homoisocitrate dehydrogenase activity
go_0043423||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""phosphatidylinositol-3-phosphate-dependent protein kinase binding""]"|3-phosphoinositide-dependent protein kinase binding
go_0004345||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""6-phosphoglucose dehydrogenas"", ""D-glucose-6-phosphate:NADP+ 1-oxidoreductase activity"", ""Entner-doudoroff enzyme"", ""G6PD activity"", ""GDH"", ""Zwischenferment"", ""6-phosphoglucose dehydrogenase activity"", ""D-glucose 6-phosphate dehydrogenase activity"", ""G6PDH"", ""NADP-dependent glucose 6-phosphate dehydrogenase activity"", ""NADP-glucose-6-phosphate dehydrogenase activity"", ""glucose 6-phosphate dehydrogenase (NADP) activity"", ""glucose-6-phosphate 1-dehydrogenase activity""]"|glucose-6-phosphate dehydrogenase activity
go_0044588||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||laminaribiose binding
go_0102358||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||daphnetin-8-O-methyltransferase activity
go_0050597||molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""5-alpha-taxadienol-10-beta-hydroxylase activity"", ""taxa-4(20),11-dien-5alpha-yl acetate,NADPH:oxygen oxidoreductase (10beta-hydroxylating)"", ""taxane 10beta-hydroxylase activity"", ""taxane 10b-hydroxylase activity""]"|taxane 10-beta-hydroxylase activity
go_0052933|"[""GO:0052930"", ""GO:0052931"", ""GO:0052932""]"|molecular_function|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""alcohol:cytochrome c(L) oxidoreductase activity""]"|alcohol dehydrogenase (cytochrome c(L)) activity
