id|alternative_ids|label|source|source_url|synonyms|term_name
uberon_0036143||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""nervus spinosus"", ""nervus spinosus"", ""ramus meningeus (Nervus mandibularis)"", ""ramus meningeus nervus mandibularis""]"|meningeal branch of mandibular nerve
uberon_0014455||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""abdominal subcutaneous adipose tissue"", ""subcutaneous abdominal fat"", ""subcutaneous fat of abdominal region""]"|subcutaneous abdominal adipose tissue
uberon_0007127||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""6th arch branchial pouch"", ""6th branchial pouch"", ""pharyngeal pouches 6"", ""sixth visceral pouch"", ""visceral pouch 6""]"|pharyngeal pouch 6
uberon_3010226||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||postiliac glands
go_0016445||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""somatic diversification of antibodies""]"|somatic diversification of immunoglobulins
uberon_0010229||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""ruminant reticular groove""]"|ruminant esophageal groove
go_0097530||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||granulocyte migration
cl_0002561||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||outer root sheath cell
uberon_0003378||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""atrium auricular region cardiac muscle"", ""auricular region heart muscle"", ""cardiac muscle tissue of auricle""]"|cardiac muscle of auricular region
ncbitaxon_7399|"[""NCBITaxon:27522"", ""NCBITaxon:27527"", ""NCBITaxon:27531""]"|uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""hymenopterans"", ""hymenopterans""]"|Hymenoptera
uberon_0003550||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""forebrain pia mater of neuraxis"", ""pia mater of forebrain"", ""pia mater of neuraxis of forebrain""]"|forebrain pia mater
0000-0002-0098-8958||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||
uberon_0034707||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||differentiating neuroepithelium
ncbitaxon_9821|"[""NCBITaxon:39423""]"|uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""boars"", ""pigs""]"|Suidae
go_0042116||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""macrophage polarization""]"|macrophage activation
uberon_0002285||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""forebrain ventricle"", ""lateral ventricle of brain"", ""tectal ventricle"", ""telencephalic ventricles"", ""telencephalic vesicle"", ""lateral ventricle"", ""lateral ventricles"", ""telencephalic ventricle"", ""telencephalon lateral ventricle""]"|telencephalic ventricle
uberon_2002279||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||pectoral fin distal radial bone 2
uberon_0004454|"[""UBERON:0002388""]"|uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""articulatio talocruralis"", ""hind basipodium"", ""hind mesopodium"", ""hock"", ""ankle"", ""ankle region"", ""tarsal limb segment""]"|tarsal region
cl_0009006||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""small intestine enteroendocrine cell""]"|enteroendocrine cell of small intestine
uberon_0034926||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||anatomical row
uberon_0002287||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""optic recesses"", ""preoptic recess"", ""recessus opticus"", ""recessus praeopticus"", ""recessus supraopticus"", ""supraoptic recess"", ""optic recess"", ""preoptic recess"", ""recessus supraopticus"", ""supraoptic recess""]"|optic recess of third ventricle
go_0061687||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||detoxification of inorganic compound
uberon_0008947||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||respiratory primordium
go_0021982||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""epiphysis development""]"|pineal gland development
uberon_0005941||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""inner root sheath"", ""hair follicle inner root sheath"", ""inner root sheath of hair follicle"", ""inner sheath of hair follicle"", ""internal root sheath of hair follicle""]"|hair inner root sheath
uberon_0026584||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""canaliculus tympanicus"", ""jacobsons canaliculus"", ""tympanic canal"", ""tympanic canaliculus""]"|tympanic canal
uberon_8700002||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||stratum spinosum of esophageal epithelium
uberon_0003013||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""ala lobuli centralis"", ""lobule II and III of hemisphere of cerebellum"", ""ala centralis"", ""alae of central lobule"", ""lobules II, III of vermis""]"|alar central lobule
uberon_0015040||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""pedal digit 4 metatarsal element"", ""pedal digit IV metatarsal endochondral element""]"|pedal digit 4 metatarsal endochondral element
uberon_0035092||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""M. spinalis caudalis"", ""spinalis caudalis""]"|spinalis caudalis muscle
nbo_0000313|"[""NBO:0000000""]"|uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""behavior"", ""behaviour""]"|behavior process
cl_0000021||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||female germ cell
